objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,file_name-old,object_location-old,image_small-old,image_thumb-old,image_alt_text,object_transcript,filename,object_location,image_small,image_thumb
suzs_001,"Ink Painting nspired by Amir Khusrow, 20/11/75",amalz,,"A sketch by Dr. Salimuzzaman Siddiqui inspired by Amir Khusro. He used to quote a verse: Khusrau gharib ast o ghada, uftada dar shehr e shema....",art work,,,,Private Collection of Amal Zaman,,,,,,,image,amirkhusrosketch.jpeg,/objects/amirkhusrosketch.jpeg,/objects/small/amirkhusrosketch_sm.jpg,/objects/thumbs/amirkhusrosketch_th.jpg,,,amirkhusrosketch.jpeg,/objects/amirkhusrosketch.jpeg,/objects/small/amirkhusrosketch_sm.jpg,/objects/thumbs/amirkhusrosketch_th.jpg
suzs_003,Salimuzzaman Siddiqui with his son Arifuzzaman Siddiqui,amalz,,A photograph of Salimuzzaman Siddiqui (right) with his son Arifuzzaman Siddiqui (left),personal photography,,,,Private Collection of Amal Zaman,,,,,,,image,arifsalimuzzamanphoto.jpeg,/objects/arifsalimuzzamanphoto.jpeg,/objects/small/arifsalimuzzamanphoto_sm.jpg,/objects/thumbs/arifsalimuzzamanphoto_th.jpg,,,arifsalimuzzaman.jpeg,/objects/arifsalimuzzaman.jpeg,/objects/small/arifsalimuzzaman_sm.jpg,/objects/thumbs/arifsalimuzzaman_th.jpg
suzs_004,Salimuzzaman Siddiqui with Mohammad Ayub Khan,amalz,,Salimuzzaman Siddiqui (right) with Mohammad Ayub Khan (left) with a large group of men in an outdoor space,institutional photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,ayubkhan.pdf,/objects/ayubkhan.pdf,/objects/small/ayubkhan_sm.jpg,/objects/thumbs/ayubkhan_th.jpg,,,ayubkhan.pdf,/objects/ayubkhan.pdf,/objects/small/ayubkhan_sm.jpg,/objects/thumbs/ayubkhan_th.jpg
suzs_006,"British Commonwealth Scientific Committee, New Delhi, 1962",amalz,,"A photograph of the second meeting of the British Commonwealth Scientific Committee in New Delhi, 19-30th November 1962",institutional photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,bcsc1962.pdf,/objects/bcsc1962.pdf,/objects/small/bcsc1962_sm.jpg,/objects/thumbs/bcsc1962_th.jpg,,,bcsc1962.pdf,/objects/bcsc1962.pdf,/objects/small/bcsc1962_sm.jpg,/objects/thumbs/bcsc1962_th.jpg
suzs_007,"Graphite Sketch inspired by Beethoven's Seventh Symphony, 1940",amalz,,A sketch by Dr. Salimuzzaman Siddiqui inspired by Beethoven's Seventh Symphony,art work,,,,Private Collection of Amal Zaman,,,,,,,image,beethoven7thsymphony.jpg,/objects/beethoven7thsymphony.jpg,/objects/small/beethoven7thsymphony_sm.jpg,/objects/thumbs/beethoven7thsymphony_th.jpg,,,beethoven7thsymphony.jpg,/objects/beethoven7thsymphony.jpg,/objects/small/beethoven7thsymphony_sm.jpg,/objects/thumbs/beethoven7thsymphony_th.jpg
suzs_008,Painting of Salimuzzaman Siddiqui's grandmother,amalz,,A painting of Salimuzzaman Siddiqui's grandmother based on a photograph,art work,,,,Private Collection of Amal Zaman,,,,,,,image,dadi1.jpeg,/objects/dadi1.jpeg,/objects/small/dadi1_sm.jpg,/objects/thumbs/dadi1_th.jpg,,,dadi1.jpeg,/objects/dadi1.jpeg,/objects/small/dadi1_sm.jpg,/objects/thumbs/dadi1_th.jpg
suzs_009,Salimuzzaman Siddiqui's grandmother,amalz,,A photograph of Salimuzzaman Siddiqui's grandmother,personal photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,dadi2.pdf,/objects/dadi2.pdf,/objects/small/dadi2_sm.jpg,/objects/thumbs/dadi2_th.jpg,,,dadi2.pdf,/objects/dadi2.pdf,/objects/small/dadi2_sm.jpg,/objects/thumbs/dadi2_th.jpg
suzs_011,"""Korean,"" 12/28",amalz,,"A graphite sketch by Dr. Salimuzzaman Siddiqui titled ""Korean""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,koreansketch.jpeg,/objects/koreansketch.jpeg,/objects/small/koreansketch_sm.jpg,/objects/thumbs/koreansketch_th.jpg,,,koreansketch.jpeg,/objects/koreansketch.jpeg,/objects/small/koreansketch_sm.jpg,/objects/thumbs/koreansketch_th.jpg
suzs_012,"Salimuzzaman Siddiqui, Liaqat Ali Khan, Sarfaraz Khan, 14/8/1951",amalz,,"A photograph of Salimuzzaman Siddiqui, Liaqat Ali Khan, Sarfaraz Khan on 14th August, 1951, at G. G. House",institutional photography,,,,Private Collection of Amal Zaman,,,,,,,image,liaqat1951.pdf,/objects/liaqat1951.pdf,/objects/small/liaqat1951_sm.jpg,/objects/thumbs/liaqat1951_th.jpg,,,liaqat1951.pdf,/objects/liaqat1951.pdf,/objects/small/liaqat1951_sm.jpg,/objects/thumbs/liaqat1951_th.jpg
suzs_013,"""Madam Binh""",amalz,,An ink painting by Dr. Salimuzzaman Siddiqui titled Madam Binh and dated ,art work,,,,Private Collection of Amal Zaman,,,,,,,image,madambinhink.jpeg,/objects/madambinhink.jpeg,/objects/small/madambinhink_sm.jpg,/objects/thumbs/madambinhink_th.jpg,,,madambinhink.jpeg,/objects/madambinhink.jpeg,/objects/small/madambinhink_sm.jpg,/objects/thumbs/madambinhink_th.jpg
